STATION,STATION_NAME,DATE,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110926,9/26/11,0.59,0,0,-9999,61,53
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110927,9/27/11,0.01,0,0,-9999,65,51
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110928,9/28/11,0,0,0,-9999,65,48
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110929,9/29/11,0,0,0,-9999,77,46
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110930,9/30/11,0.01,0,0,-9999,65,51
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20111001,10/1/11,0.02,0,0,-9999,59,50
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20111002,10/2/11,0.37,0,0,-9999,64,49
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20111003,10/3/11,0.1,0,0,-9999,62,52
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20111004,10/4/11,0.05,0,0,-9999,63,49
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20111005,10/5/11,0.09,0,0,-9999,55,49
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20111006,10/6/11,0.11,0,0,-9999,58,49
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20111007,10/7/11,0.06,0,0,-9999,55,50
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20111008,10/8/11,0.02,0,0,-9999,65,46
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20111009,10/9/11,0.1,0,0,-9999,60,51
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20111010,10/10/11,0.25,0,0,-9999,59,51
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20111011,10/11/11,0.89,0,0,-9999,59,52
